Rodada,Data,Partida,Mais seguro|mercado,Mais seguro|prob,Mais seguro|conf,"Odd ~1,5|mercado","Odd ~1,5|prob","Odd ~1,5|conf","Odd ~2,0|mercado","Odd ~2,0|prob","Odd ~2,0|conf","Odd ~3,0|mercado","Odd ~3,0|prob","Odd ~3,0|conf"
21,2026-07-30,Chapecoense-SC x Vasco,"Mais de 0,5 gol",0.9418484445246922,Alta,Multi-gols 0-3,0.6872435583919148,Alta,Multi-gols 3-6,0.5102782989328022,Alta,Vitória do mandante,0.3542235989227654,Alta
21,2026-10-02,Sao Paulo x Santos,"Mais de 0,5 gol",0.913607489048575,Alta,Multi-gols 2-5,0.6594238003429462,Alta,Vitória do mandante,0.5036388933844423,Alta,Multi-gols 3-4,0.33873961473172987,Alta
21,2026-10-03,Atletico-MG x Bragantino,"Mais de 0,5 gol",0.9196071774893733,Alta,Multi-gols 2-5,0.669718665634556,Alta,Vitória do mandante,0.512882686211862,Alta,Multi-gols 3-4,0.3477716109753033,Alta
29,2026-10-07,Athletico-PR x Atletico-MG,"Mais de 0,5 gol",0.9095380370298014,Alta,"Mais de 8,5 escanteios",0.6544655067038879,Média,Multi-gols 1-2,0.4828098447114775,Alta,Multi-gols 3-4,0.33256034093653836,Alta
29,2026-10-07,Botafogo RJ x Vasco,"Mais de 0,5 gol",0.9448378109753306,Alta,Multi-gols 0-3,0.6750819283899637,Alta,"Mais de 8,5 escanteios",0.4889579810889727,Média,"Mais de 3,5 gols",0.3249180716100363,Alta
29,2026-10-07,Bragantino x Mirassol,"Mais de 0,5 gol",0.9297989913651861,Alta,Multi-gols 1-3,0.6579555059647939,Alta,"Menos de 2,5 gols",0.5094394477903705,Alta,Vitória do visitante,0.3142891647145811,Alta
29,2026-10-07,Cruzeiro x Sao Paulo,"Mais de 0,5 gol",0.8876194063118596,Alta,"Mais de 8,5 escanteios",0.6698192341947784,Média,"Mais de 5,5 cartões",0.5009318227375648,Média,Multi-gols 3-5,0.3463011827607935,Alta
29,2026-10-07,Fluminense x Coritiba,"Mais de 0,5 gol",0.9416241008273323,Alta,Multi-gols 0-3,0.6873325315609207,Alta,Ambas marcam - NÃO,0.5022995737896574,Média,"Mais de 3,5 gols",0.3126674684390792,Alta
29,2026-10-07,Internacional x Corinthians,"Mais de 0,5 gol",0.8961317039573032,Alta,"Mais de 1,5 gols",0.6559696475916746,Alta,"Mais de 9,5 escanteios",0.5029262113470394,Média,Multi-gols 0-1,0.3440303524083253,Alta
29,2026-10-07,Palmeiras x Bahia,"Mais de 0,5 gol",0.9373341199965928,Alta,Vitória do mandante,0.6567067587545224,Alta,Multi-gols 3-6,0.49647483054140484,Alta,Empate ou fora (X2),0.34329324124547733,Alta
29,2026-10-07,Remo x Gremio,"Mais de 0,5 gol",0.9382573955828865,Alta,"Mais de 8,5 escanteios",0.6642916897547233,Média,Multi-gols 3-6,0.4985677897964524,Alta,Vitória do visitante,0.36734139113784847,Alta
29,2026-10-07,Santos x Flamengo RJ,"Mais de 0,5 gol",0.934850419765168,Alta,Multi-gols 1-3,0.6467665356213654,Alta,"Mais de 2,5 gols",0.5087892226530782,Alta,Multi-gols 3-4,0.3702259143678535,Alta
29,2026-10-07,Vitoria x Chapecoense-SC,"Mais de 0,5 gol",0.9295614172207682,Alta,Multi-gols 1-3,0.6580803198964191,Alta,Ambas marcam - NÃO,0.5080027861675667,Média,"Mais de 10,5 escanteios",0.33495519927381245,Média
30,2026-10-11,Atletico-MG x Santos,"Mais de 0,5 gol",0.926931578732396,Alta,Multi-gols 1-3,0.6634464477953953,Alta,Ambas marcam - NÃO,0.5024606510951382,Média,Multi-gols 3-4,0.35873579562526126,Alta
30,2026-10-11,Bahia x Mirassol,"Mais de 0,5 gol",0.9386049996416619,Alta,"Mais de 9,5 escanteios",0.6387523933237059,Média,Multi-gols 3-6,0.4997517101801974,Alta,"Mais de 5,5 cartões",0.36699144077155554,Média
30,2026-10-11,Bragantino x Cruzeiro,"Mais de 0,5 gol",0.9012112743152089,Alta,"Mais de 1,5 gols",0.6674092863793771,Alta,Multi-gols 1-2,0.49746360851320715,Alta,Multi-gols 0-1,0.3325907136206228,Alta
30,2026-10-11,Chapecoense-SC x Athletico-PR,"Mais de 0,5 gol",0.9250010651024742,Alta,Multi-gols 1-3,0.6672533834102933,Alta,Ambas marcam - SIM,0.5097827185578924,Média,Multi-gols 3-4,0.3557822651823711,Alta
30,2026-10-11,Coritiba x Botafogo RJ,"Mais de 0,5 gol",0.9377737949050723,Alta,Empate ou fora (X2),0.6797685043694459,Alta,Multi-gols 3-6,0.49704840983846005,Alta,"Mais de 10,5 escanteios",0.3222383907828854,Média
30,2026-10-11,Flamengo RJ x Fluminense,"Mais de 0,5 gol",0.934389436949661,Alta,Multi-gols 1-3,0.6472596189562339,Alta,"Mais de 2,5 gols",0.507733248501614,Alta,Multi-gols 3-4,0.36981715221305494,Alta
30,2026-10-11,Gremio x Internacional,"Mais de 0,5 gol",0.9175606517619262,Alta,Multi-gols 2-5,0.6660778742026847,Alta,Ambas marcam - NÃO,0.504675861071563,Média,"Mais de 10,5 escanteios",0.32469835490045307,Média
30,2026-10-11,Palmeiras x Corinthians,"Mais de 0,5 gol",0.9129099801969511,Alta,Multi-gols 2-5,0.6588023450675228,Alta,"Mais de 10,5 escanteios",0.492747050451007,Média,Multi-gols 3-4,0.3380135865985142,Alta
30,2026-10-11,Sao Paulo x Vitoria,"Mais de 0,5 gol",0.9044101946056504,Alta,"Mais de 1,5 gols",0.675395405216618,Alta,Multi-gols 1-2,0.4916152663590091,Alta,Multi-gols 3-4,0.32509374735343377,Alta
30,2026-10-11,Vasco x Remo,"Mais de 0,5 gol",0.9517930118537505,Alta,Multi-gols 0-3,0.6456421376943086,Alta,Multi-gols 3-5,0.49376688512870426,Alta,"Mais de 3,5 gols",0.3543578623056914,Alta
31,2026-10-18,Athletico-PR x Palmeiras,"Mais de 0,5 gol",0.9014505032648652,Alta,"Mais de 1,5 gols",0.6679839303402051,Alta,Multi-gols 1-2,0.49705035335365905,Alta,Multi-gols 0-1,0.33201606965979474,Alta
31,2026-10-18,Atletico-MG x Coritiba,"Mais de 0,5 gol",0.9437471262977009,Alta,Multi-gols 0-3,0.6792146745098838,Alta,Ambas marcam - SIM,0.5062852831072817,Média,"Mais de 3,5 gols",0.3207853254901162,Alta
31,2026-10-18,Bahia x Flamengo RJ,"Mais de 0,5 gol",0.9361739829602138,Alta,Multi-gols 1-3,0.6436843986248436,Alta,Multi-gols 3-6,0.4919822880916613,Alta,Multi-gols 3-4,0.37208961659904943,Alta
31,2026-10-18,Botafogo RJ x Chapecoense-SC,"Mais de 0,5 gol",0.9542375825760225,Alta,Multi-gols 0-3,0.6330608220725559,Alta,Multi-gols 3-5,0.5004268952027888,Alta,Multi-gols 1-2,0.36339789852276616,Alta
31,2026-10-18,Corinthians x Vitoria,"Mais de 0,5 gol",0.9021760876610528,Alta,"Mais de 1,5 gols",0.6701157886579955,Alta,Multi-gols 1-2,0.4954780052944567,Alta,Multi-gols 0-1,0.3298842113420044,Alta
31,2026-10-18,Fluminense x Santos,"Mais de 0,5 gol",0.9242521567439241,Alta,"Mais de 4,5 cartões",0.6650891972182011,Média,"Mais de 9,5 escanteios",0.5054901681747195,Média,Multi-gols 3-4,0.35475647292260226,Alta
