Rodada,Bilhete,Alvo de odd,Pernas,Prob. combinada,Odd justa do bilhete,Odd provável na casa,Retorno esperado,Perna,Data,Partida,Mercado,Prob. da perna,Odd justa da perna,Confiança
21,Muito seguro,1.5,2,0.6593354618500378,1.5166786224330893,1.3255087892664226,-0.12604505024273893,1,2026-10-02,Sao Paulo x Santos,Multi-gols 1-4,0.8136499951850652,1.229029688339824,Alta
21,Muito seguro,1.5,2,0.6593354618500378,1.5166786224330893,1.3255087892664226,-0.12604505024273893,2,2026-10-03,Atletico-MG x Bragantino,Multi-gols 1-4,0.8103428571889458,1.2340455538399744,Alta
21,Seguro,2.0,2,0.501315497738017,1.994751816993679,1.7433232239989163,-0.12604505024273882,1,2026-07-30,Chapecoense-SC x Vasco,Multi-gols 2-5,0.7041337321162882,1.420184766598924,Alta
21,Seguro,2.0,2,0.501315497738017,1.994751816993679,1.7433232239989163,-0.12604505024273882,2,2026-10-03,Atletico-MG x Bragantino,"Mais de 1,5 gols",0.7119606331474891,1.404572041545506,Alta
21,Moderado,3.0,2,0.3289791674909173,3.0397061541217765,2.6565662392023346,-0.12604505024273882,1,2026-10-02,Sao Paulo x Santos,"Mais de 9,5 escanteios",0.5775834679722457,1.7313514936823857,Média
21,Moderado,3.0,2,0.3289791674909173,3.0397061541217765,2.6565662392023346,-0.12604505024273882,2,2026-07-30,Chapecoense-SC x Vasco,Ambas marcam - SIM,0.5695785730257875,1.755684022114233,Média
21,Equilibrado,5.0,2,0.20140043522183337,4.965232567141902,4.339389578749618,-0.12604505024273882,1,2026-10-03,Atletico-MG x Bragantino,Multi-gols 3-6,0.4427569473767904,2.25857551400315,Alta
21,Equilibrado,5.0,2,0.20140043522183337,4.965232567141902,4.339389578749618,-0.12604505024273882,2,2026-10-02,Sao Paulo x Santos,"Mais de 5,5 cartões",0.4548780915016104,2.198391214443573,Média
21,Ousado,10.0,3,0.1003539317818929,9.964731647718384,8.141401580165414,-0.18297834121508494,1,2026-07-30,Chapecoense-SC x Vasco,Multi-gols 0-2,0.4644432059204664,2.153115789514305,Alta
21,Ousado,10.0,3,0.1003539317818929,9.964731647718384,8.141401580165414,-0.18297834121508494,2,2026-10-03,Atletico-MG x Bragantino,Multi-gols 1-2,0.46257124621364243,2.161829141317058,Alta
